ID,Title,Author,Length,URL,Year,Approach
video001,Tips and Tricks- Full Narrated Robotic-Assisted Prostatectomy,AdventHealth Global Robotics Institute,5071.633,http://dg1fmc8qbela5.cloudfront.net/video001.mp4,2016,anterior
video002,2008 AUA Fagin Prostatectomy,VIP Urology,3604.851519,http://dg1fmc8qbela5.cloudfront.net/video002.mp4,2008,posterior
video003,Aldo Bocciardi - Robotic Retzius Sparing Radical Prostatectomy,Fondazione Vincenzo Pansadoro,4012.965442,http://dg1fmc8qbela5.cloudfront.net/video003.mp4,2019,posterior
video005,CILR 2012 - Richard Gaston - Nerve-sparing robotic-assisted laparoscopic radical prostatectomy,Fondazione Vincenzo Pansadoro,6922.797279,http://dg1fmc8qbela5.cloudfront.net/video005.mp4,2012,anterior
video006,CILR 2012 - Vipul Patel - Nerve-sparing robotic-assisted laparoscopic radical prostatectomy,Fondazione Vincenzo Pansadoro,4224.569,http://dg1fmc8qbela5.cloudfront.net/video006.mp4,2012,anterior
video007,CILR 2015 - Vipul Patel - Robotic radical prostatectomy,Fondazione Vincenzo Pansadoro,2745.783,http://dg1fmc8qbela5.cloudfront.net/video007.mp4,2015,anterior
video008,Clipless Robotic Assistec Radical Prostatectomy,Victor Dubeux,2003.232,http://dg1fmc8qbela5.cloudfront.net/video008.mp4,2020,anterior
video009,Complete case of Retzius-sparing RARP (August 2019),Santis,1846.822313,http://dg1fmc8qbela5.cloudfront.net/video009.mp4,2019,posterior
video010,Copy of Robotic prostatectomy Full Case Step by Step with Expert Surgeon,Naveen Kella,4019.25805,http://dg1fmc8qbela5.cloudfront.net/video010.mp4,2014,posterior
video011,Declan Murphy Live Robotic Prostatectomy #WRSE24 May 2016,Declan Murphy,6089.200907,http://dg1fmc8qbela5.cloudfront.net/video011.mp4,2014,anterior
video012,"Dr Boon Kua Da Vinci Robotic Prostatectomy, Brisbane, Australia",Boon Kua,2021.552472,http://dg1fmc8qbela5.cloudfront.net/video012.mp4,2014,anterior
video013,Dr. Ahmed and Dr. Lovallo performing a salvage prostatectomy following prostate brachytherapy,New Jersey Center Prostate Cancer & Urology,3417.838005,http://dg1fmc8qbela5.cloudfront.net/video013.mp4,2013,anterior
video014,Dr. Jim Hu - Robotic Extraperitoneal Radical Prostatectomy Surgical Video With Narration,Weill Cornell Urology,2148.217324,http://dg1fmc8qbela5.cloudfront.net/video014.mp4,2019,anterior
video015,Dr. Jim Hu - Transperitoneal Robotic-Assisted Radical Prostatectomy,Weill Cornell Urology,6104.665397,http://dg1fmc8qbela5.cloudfront.net/video015.mp4,2017,anterior
video016,Dr. Lovallo Performing a robotic simple prostatectomy,New Jersey Center Prostate Cancer & Urology,3000.018141,http://dg1fmc8qbela5.cloudfront.net/video016.mp4,2013,anterior
video017,Dr. Lutfi Tunc Blader Neck Preservation Aproach Nerve Sparing RALP da Vinci SI System,Prof. Dr. Lütfi Tunç,4747.737687,http://dg1fmc8qbela5.cloudfront.net/video017.mp4,2016,posterior
video018,Dr. Lutfi Tunc Blader Neck Preservation Aproach Non-Nerve Sparing RALP da Vinci XI System,Prof. Dr. Lütfi Tunç,4819.301587,http://dg1fmc8qbela5.cloudfront.net/video018.mp4,2016,posterior
video019,Dr. Patel- Robotic-assisted Radical Prostatectomy- Nerve Sparing technique.,Robotic Surgery Academy,1526.712018,http://dg1fmc8qbela5.cloudfront.net/video019.mp4,2019,anterior
video020,Dr. Rafael Coelho-Prostatectomia Radical Robotica - Ircad América latina,Dr. Rafael Coelho - Urologia,2655.736,http://dg1fmc8qbela5.cloudfront.net/video020.mp4,2018,anterior
video021,ExPeritoneal Radical Prostatectomy Laparoscopic with Audio Commentary,Dr Aditya K Sharma,1333.754195,http://dg1fmc8qbela5.cloudfront.net/video021.mp4,2019,anterior
video023,Full Length Robotic Prostatectomy,Dr Rad,2047.025,http://dg1fmc8qbela5.cloudfront.net/video023.mp4,2019,posterior
video024,Full Length Robotic Radical Prostatectomy - Lateral Approach - Dr. Richard Gaston,Dr. Fernando Gómez Sancha,2446.640181,http://dg1fmc8qbela5.cloudfront.net/video024.mp4,2017,posterior
video025,Full Robotic prostate cancer removal with Expert Surgeon Naveen Kella,Naveen Kella,4719.781,http://dg1fmc8qbela5.cloudfront.net/video025.mp4,2015,posterior
video026,"Full-length, unedited, narrated Robotic Prostatectomy performed live by Dr. Ronney Abaza in 2018",Robotic Urologic Surgery with Dr. Ronney Abaza,5490.103,http://dg1fmc8qbela5.cloudfront.net/video026.mp4,2018,anterior
video027,Ignacio Moncada - Robitic Simple Prostatectomy,Fondazione Vincenzo Pansadoro,2648.700227,http://dg1fmc8qbela5.cloudfront.net/video027.mp4,2019,anterior
video028,ircad 2021 - Live Surgery - Robotic Prostatectomy - Dr Rafael Coelho,Dr. Rafael Coelho - Urologia,2006.46,http://dg1fmc8qbela5.cloudfront.net/video028.mp4,2021,anterior
video029,ircad rio - Dr Rafael Coelho - Prostatectomia Robotica/Robotic Prostatectomy,Dr. Rafael Coelho - Urologia,2440.812,http://dg1fmc8qbela5.cloudfront.net/video029.mp4,2018,anterior
video030,Jens Uwe Stolzenburg - Robotic radical Prostatectomy,Fondazione Vincenzo Pansadoro,4672.296054,http://dg1fmc8qbela5.cloudfront.net/video030.mp4,2019,anterior
video031,laparoscopic extraperitoneal radical prostatectomy in a patient with previous hormone treatment,ΝΙΚΟΛΑΟΣ ΦΕΡΑΚΗΣ,3333.13161,http://dg1fmc8qbela5.cloudfront.net/video031.mp4,2015,anterior
video032,Laparoscopic Prostatectomy,laparoscoendourology,2449.960635,http://dg1fmc8qbela5.cloudfront.net/video032.mp4,2021,anterior
video033,LAPAROSCOPIC PROSTATECTOMY GOUMAS,Ioannis Kartalas Goumas,3916.99737,http://dg1fmc8qbela5.cloudfront.net/video033.mp4,2020,anterior
video034,Laparoscopic Radical Prostatectomy,"dr. Ahmad Zulfan Hendri, Sp.U (K)",2271.817143,http://dg1fmc8qbela5.cloudfront.net/video034.mp4,2019,anterior
